Date,Top 10 tickers,Top 10 raw tickers,Top 10 count
2001-01-31,"GE, MSFT, C, XOM, PFE, CSCO, WMT, INTC, TWX, AIG","GE, MSFT, C, XOM, PFE, CSCO, WMT, INTC, TWX, AIG",10
2001-02-28,"GE, MSFT, PFE, XOM, C, WMT, INTC, AIG, TWX, MRK","GE, MSFT, PFE, XOM, C, WMT, INTC, AIG, TWX, MRK",10
2001-03-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, MRK, TWX","GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, MRK, TWX",10
2001-04-30,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG",10
2001-05-31,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC",10
2001-06-30,"GE, MSFT, XOM, C, PFE, TWX, WMT, AIG, INTC, IBM","GE, MSFT, XOM, C, PFE, TWX, WMT, AIG, INTC, IBM",10
2001-07-31,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM",10
2001-08-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ",10
2001-09-30,"GE, MSFT, XOM, PFE, WMT, AIG, C, JNJ, IBM, T","GE, MSFT, XOM, PFE, WMT, AIG, C, JNJ, IBM, T",10
2001-10-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, IBM, JNJ, INTC","GE, MSFT, XOM, PFE, C, WMT, AIG, IBM, JNJ, INTC",10
2001-11-30,"GE, MSFT, PFE, XOM, C, WMT, INTC, AIG, IBM, JNJ","GE, MSFT, PFE, XOM, C, WMT, INTC, AIG, IBM, JNJ",10
2001-12-31,"GE, MSFT, XOM, C, WMT, PFE, INTC, IBM, AIG, JNJ","GE, MSFT, XOM, C, WMT, PFE, INTC, IBM, AIG, JNJ",10
2002-01-31,"GE, MSFT, WMT, XOM, PFE, C, INTC, AIG, IBM, JNJ","GE, MSFT, WMT, XOM, PFE, C, INTC, AIG, IBM, JNJ",10
2002-02-28,"GE, MSFT, XOM, WMT, PFE, C, AIG, INTC, JNJ, IBM","GE, MSFT, XOM, WMT, PFE, C, AIG, INTC, JNJ, IBM",10
2002-03-31,"GE, MSFT, XOM, WMT, C, PFE, INTC, JNJ, AIG, IBM","GE, MSFT, XOM, WMT, C, PFE, INTC, JNJ, AIG, IBM",10
