Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2002-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06434177146831353,0.25473360902217523,0.3102294493685516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13271374773475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379814224062003,0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08451206737359487,0.26255552738320137,0.278777543265119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15910970288020487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150451590978799,0.0
2002-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10553552060841598,0.2540068218487047,0.2739993215162147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18710954475950245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17934879126716202,0.0
2002-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07947091754549958,0.30921705118534143,0.2768597150735822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406380191759967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19381429701958025,0.0
2002-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10313635746643483,0.3323602512100984,0.1849313017582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14543559125179475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23413649831343125,0.0
2002-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06712036332838558,0.25805467351218225,0.2623823325664961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930930920106554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193495385822806,0.0
2002-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19206933535756937,0.4977043608712785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005288579723342491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30493772404780967,0.0
2002-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19182332874960029,0.39493944535656694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07875281437619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344844115176359,0.0
2002-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07821830328131137,0.22872566005322556,0.28549488740298445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984214104305102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30913973883196855,0.0
2002-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07134254568991188,0.20676710432907142,0.2845408261889126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359076036772119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30144192011489224,0.0
